strike,call_oi,put_oi,total_oi,net_oi,distance_from_spot,call_volume,put_volume,total_volume
7500.0,1303,184,1487,1119,373.83,341,68,409
7525.0,200,13,213,187,398.83,135,10,145
7550.0,441,3,444,438,423.83,80,4,84
7575.0,765,2,767,763,448.83,583,4,587
7600.0,1038,1,1039,1037,473.83,425,1,426
7625.0,1501,1,1502,1500,498.83,17,1,18
7650.0,714,0,714,714,523.83,477,0,477
7675.0,2555,3,2558,2552,548.83,31,3,34
7700.0,530,0,530,530,573.83,403,0,403
7725.0,440,1,441,439,598.83,20,1,21
7750.0,1241,0,1241,1241,623.83,102,0,102
7775.0,4290,1,4291,4289,648.83,6,1,7
7800.0,1117,11,1128,1106,673.83,284,10,294
7825.0,2284,2,2286,2282,698.83,5,2,7
7850.0,604,0,604,604,723.83,550,0,550
7875.0,1704,5,1709,1699,748.83,10,5,15
7900.0,363,0,363,363,773.83,337,0,337
7950.0,211,0,211,211,823.83,202,0,202
8000.0,1824,1,1825,1823,873.83,1099,2,1101
8100.0,311,0,311,311,973.83,251,0,251
8200.0,146,0,146,146,1073.83,141,0,141
8300.0,11,0,11,11,1173.83,4,0,4
8400.0,404,0,404,404,1273.83,1,0,1
8500.0,11,1,12,10,1373.83,10,1,11
8600.0,15,0,15,15,1473.83,1,0,1
8800.0,218,1,219,217,1673.83,1,82,83
9000.0,127,1,128,126,1873.83,1,1,2
9200.0,4,0,4,4,2073.83,1,0,1
9400.0,2756,7,2763,2749,2273.83,2090,7,2097
9600.0,4,0,4,4,2473.83,1,2,3
9800.0,18440,1,18441,18439,2673.83,11,1,12
10000.0,20,1,21,19,2873.83,1,1,2
10400.0,17,15,32,2,3273.83,8,11,19
